,WB_changes_open,WBDefinition,Happiness_Change,LifeSatisfaction_Change,PhysicalHealth_Change,MentalHealth_Change,MeaningPurpose_Change,CharacterVirtue_Change,SocialRelationships_Change,Financial_Change,Spirituality_Change,Education_Change,Employment_Change,Recreation_Change,SelfEsteem_Change,Family_Change,Safety_Change,Group_top3,Happiness_Rank,LifeSatisfaction_Rank,PhysicalHealth_Rank,MentalHealth_Rank,MeaningPurpose_Rank,CharacterVirtue_Rank,SocialRelationships_Rank,Financial_Rank,Spirituality_Rank,Education_Rank,Employment_Rank,Recreation_Rank,SelfEsteem_Rank,Family_Rank,Safety_Rank,Other_YesNo,Other_top3,Study_Rating,MindfulnessChanges_open,StressChanges_open,StudyExpectation_open,ChangesWithinSelf_open,Suggestions_open,Chatbot_supportive,Chatbot_easy,Chatbot_efficient,Chatbot_clear,Chatbot_exciting,Chatbot_interesting,Chatbot_inventive,Chatbot_leadingedge,Chatbot_Rating,Chatbot_LikeDislike,Study_supportive,Study_easy,Study_efficient,Study_clear,Study_exciting,Study_interesting,Study_inventive,Study_leadingedge,PSS,CatchQuestions,ERQ,MPoD,SRI,PositiveMood,NegativeMood,WellbeingRating,Reappraisal,DC_awareness,DC_nonreactivity,DC_disidentification,Mindful_skill,SWLS,Extraversion,Agreeableness,Conscientiousness,Neuroticism,OpennesstoExperience,FFMQ15,FFMQ_Observing,FFMQ_Describe,FFMQ_ActingwAwareness,FFMQ_NonJudging,FFMQ_Nonreactivity,Autonomy,Competence,Relatedness,Meaning_Presence,Meaning_Search,Synchronicity,Condition,RandomID,id,BaselineDate,Time
109,"I would say my wellbeing has remained the same since I started this study, I came into it with a pretty good wellbeing.","The term wellbeing to me now still remains somewhat similar to what I said before, its the ability to be healthy both physically and mentally.",5,4,3,4,4,5,5,3,3,4,3,4,4,4,4,"Close Social Relationships,Mental Health,Life Satisfaction",NA,3,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,7,"My understanding did not change, I was pretty confident in my definition being about the ability to open your mind to new experiences.","My understanding of stress also did not change, I know that the feeling of stress to me is like a heavy weight as I experienced some stress the last two days.","The training met my goals and expectations to a very high degree, I went into it expecting to be able to calm my mind and it did just that",I feel like I am much more optimistic with how I evaluate myself while participating in the study.,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,7,6,6,7,6,23,3,33,85,40,46,13,6,73,27,28,30,6,20,7,8,9,7,6,47,10,11,7,9,10,13,13,15,31,30,13,Control,4322,3502,9/10/2023,2
111,Since I’ve started this study the school year has just started and being a first year it’s been a very different transition from high school to this new environment filled with brand new people and the idea of doing it all alone. Over the course of the study i’ve come to better terms with my circumstances and I’m in a much better place and much more content with my new reality. ,well-being to me means having complete and total positive control over one’s life and the ability to make the right choices every time because you’re in a great headspace. ,4,4,3,4,3,3,4,4,4,4,3,3,4,4,4,"Happiness,Life Satisfaction,Mental Health",1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,6,my understanding of mindfulness changed. I’m so much more aware of the different components that go into mindfulness and how to better supplement your mind and make it “stronger”.,"my understanding of stress did not change. what was confirmed to me is that stress can really make or break a person and their day,",high degree. I’ve expected that the study would conduct the way it was conducted. something that did pass my expectations though was the 5 minute colouring session in the beginning. I really enjoyed it.,Something that i’ve noticed about myself is that i’m much more aware with myself and becoming more content with my day to day ,keep doing what your doing. this is a phenomenal study.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,7,6,7,7,6,39,3,36,81,37,24,20,5,73,33,26,22,5,6,6,7,7,8,6,44,14,6,8,4,12,7,9,10,17,31,12,Control,1885,4501,9/10/2023,2
112,"It has changed significantly, I am way more emotional now ",It means my emotional and physical state and what affects it,3,5,5,4,5,5,5,5,5,5,3,3,4,5,2,"Mental Health,Self-esteem,Happiness",3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,No,NA,7,Yes I feel like I am more knowledgeable about the term and I am able to see and experience my emotions more,It confirmed to me that I have to be very mindful of my stress levels and how to handle them,It has met my goals and expectations even more than what I expected.,I became more prone to experiencing emotions that I had bottled up for a while,No it was pretty good ,7,7,7,7,7,7,7,7,7,I liked everything about it -very quick and informative,NA,NA,NA,NA,NA,NA,NA,NA,48,3,22,75,40,18,33,2,62,15,35,25,6,13,3,10,10,5,10,43,12,10,7,3,11,15,15,15,29,30,8,Choice,2135,3829,9/10/2023,2
113,I have become more aware of my own moods and have taken more time to reflect on my life since the study started. ,"The positive state of one's general emotional, physical, mental, and psychological health. To me, wellbeing is something that needs to be constantly worked on and maintained.",4,4,3,3,3,3,5,3,3,3,3,3,3,3,3,"Happiness,Close Social Relationships,Mental Health",1,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,7,I do not think my understanding of mindfulness has changed but I do think that I've started to see more of it's importance now that I've put actual effort into paying attention to it every day. This has allowed me to see that it does actually help out in increasing of my own moods and ability to reflect on myself.,"I think I've realized that stress can be caused by a wide variety of things, including those outside of the usual items such as school and work. ",The training met my expectations pretty clearly. The study helped me start the process of thinking about mindfulness better.,I definitely started to pay attention to my day to day moods a little bit more. I found myself monitoring my moods and actually thinking about my own wellbeing and what I could do to improve it more frequently.,Nope!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,59,3,34,67,17,46,40,4,51,16,25,26,5,9,5,3,3,8,10,52,12,12,10,7,11,11,6,12,16,23,16,Control,6832,3658,9/6/2023,2
115,I certainly used the practices I was taught in this study in daily aspects of my life. Non-reactivity specifically was applicable to stressful moments within my family and when dealing with harmful urges of my eating disorder. I think I will continue to use these practices in the future. Another thing that has changed during the past week is that I was able to meet a lot of new people and partake in lots of social activities. It has certainly increased by wellbeing significantly. ,"Well-being means being satisfied with one's mental and physical health, and taking the initiative to improve it if needed, whether that be through support from others or partaking in recreational activities that are beneficial.  ",5,5,4,4,5,5,4,3,3,3,3,3,4,4,3,"Mental Health,Happiness,Physical Health",2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,6,"My belief was that mindfulness is limited to the action of acknowledging and processing thoughts and emotions. However, when those emotions harbour strong negativity, they can easily overcome an individual's true character and virtue. Thus, in order to be truly mindful, I now believe it is important to react to those constant thoughts and emotions logically while positively reinforcing the pros of the situation. It is important to maintain a balance between rational thinking skills and handling certain situations so that it protects one's wellbeing. ","Through the practices that were completed, stress has definitely adopted a more positive definition in my perspective. Essentially, stress is a leading factor of poor performance and tendencies of anxiety, but if coped with in a healthy manner, it is a significant performance booster. If one perceives stress as a motivator instead of a competitor or weakness, it helps to reduce how overwhelming certain worrisome situations can be. It can act as a barrier between an individual and the feeling of defeated at the hand of responsibilities and worrisome events.","The training has made a noticeable effect on my life. I would ensure to complete the training after I had finished all my work for the day as that is when my well-being is most decreased. The training was an opportunity for me to self-reflect on the thoughts and emotions I experienced throughout the day but was unable to process and address them then. In fact, the training exceeded my expectations because I was actually able to apply the practices during certain moments in my personal life, from dealing with eating disorder urges, coping with high workload, and resolving family issues by perceiving situations through a more positive and logical lens. ","Perhaps it's a negative aspect of my personality, but I tend to be an overly emotional individual and that I have observed can lead to certain self sabotaging behaviour. Over the past years however, I have been continuously improving on it and the training/study was able to support that. The practices, as I have mentioned before, have allowed me to separate my true self from my emotions and negative thoughts. This way, my actions were more reflective of who I am and i felt more in control of the events that took place in my life over the previous week. I was able to self-reflect, which I often do anyway, but I appreciated that the chatbot was able to guide that process so I do it in a more healthy way. Daily check-ins allowed me to stay in tune with how I am feeling and the practices, such as non-reactivity, provided me with the proper way to address those emotions.",I appreciated that the chat box was interactive! It made the experience more engaging and personalized. ,7,7,7,6,5,4,5,7,6,"The chatbot in this study provided a proper guide for the self-reflection process in this study, which is often a difficult task without support. I was impressed that the chatbot was interactive, which made the experience more engaging and personalized. I believe it's a better alternative to just providing participants merely a survey at the beginning of the study. Positive reinforcement and support from the chatbot was also helpful..  ",NA,NA,NA,NA,NA,NA,NA,NA,26,3,35,77,38,38,23,6,73,33,24,20,6,19,8,8,4,4,6,55,14,14,9,8,10,14,13,12,34,31,40,Choice,3743,3379,9/11/2023,2
116,Slight improvement ,"One’s mental, physical, emotional and spiritual health.",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Financial and Material Stability,Family,Happiness",3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,No,NA,7,"Throughout this training, my understanding of mindfulness has changed. Before the training, I saw mindfulness as deeply integrated in mental health. Now I see it more as observing and understanding the emotions you experience.","No, throughout the study, my understanding of stress did not change in any way, shape or form. I still see stress as the same as I did before the training. I still see stress as an emotion that infiltrates your being usually not intentional but based on the events in your life. Stress is still an emotion I do not necessarily enjoy experiencing but is a guarantee in one’s life.","To a slight degree, but this training has met my expectations. At the beginning of the training, I expected to see an improvement in my wellbeing by becoming more aware of the emotions I experience. Throughout the training, I was forced to think about my emotions, and consequently became more aware of the emotions I experienced throughout the week.","Throughout the study, I realized that I am unable to go through something unpleasant without experiencing the connected unpleasant emotion. I am not able to separate my emotions from myself.",no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,7,7,4,6,6,6,42,2,26,41,25,31,19,4,51,10,16,15,5,13,6,7,6,7,6,44,9,9,8,9,9,10,9,11,19,21,13,Control,9746,4738,9/11/2023,2
117,"Since the beginning of this study, I have become more aware of my negative emotions and have tried to think more positively about situations that are out of my control. ","Wellbeing means to have good health, whether that be physical or mental health. Based on this past week, wellbeing has been a form of healing, where I was able to unpack some emotions I had stored away and clear my head of annoying thoughts.",4,4,3,3,3,4,4,3,3,3,3,3,3,3,3,"Physical Health,Family,Education",NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,NA,No,NA,7,"Yes, my understanding of mindfulness changed. In the beginning of this study I though mindfulness meant to be happy, however it is much more than that. Mindfulness is something that takes practice and is a way to become happy over time. What I mean is, I have to clear away any negative thoughts or emotions that cloud my head. Once clear, I was able to process my thoughts in a different, more positive, manner.  ","My understanding of stress did not change. Through the study feelings of nervousness and anxiety defined stress, which matched my original thoughts towards ""stress"".","I wasn't expecting the training to be beneficial at all, however, i was surprised to see around the third day that I was looking forward to answering the survey. I enjoyed being able to unpack my emotions after a stressful day and think about the good that came out of it. ","I became a little ""happier"" these past few days. Not that I wasn't happy before, but I was able to notice the good things before i noticed the bad things.","Overall I had a great experience. One suggestion I have is to change the questions the chatbox asks when it's giving its training. Every day, I felt like it became a little repetitive, and considering there were only 3 training modules in 7 days, I had to redo some of them. That wouldn't be a problem, however they were the exact same. Maybe if the wording were different the second time I would feel like I'm having an actual interaction and it wouldn't feel so robotic. ",5,7,5,6,4,4,5,4,6,"I enjoyed the way it communicated with me. Every time I had a question, it would give me a clear response and some advice as well which felt nice. ",NA,NA,NA,NA,NA,NA,NA,NA,52,3,26,74,33,29,24,6,59,28,21,25,5,16,7,6,6,9,6,44,11,6,10,8,9,12,11,12,23,25,5,Choice,3688,3304,9/11/2023,2
118,"My wellbeing has changed quite a bit since the beginning of this study partly because when I first started this study, I was just beginning university and so I was very nervous and anxious as to what I should expect. The last week had been challenging, I spent many nights up at night pondering about my day and thinking of all the work I had yet to complete. This study gave me an opportunity to step back, take 10 minutes of my day to reflect on my mental wellbeing and remove myself from the chaos around me. Each day as I was picking the options best describing my mood, I began noticing how much stress I was unnecessarily putting myself through and it made me realize that the way I think about situations has a huge impact on whether my day is good or bad. This allowed me to re-evaluate myself and understand that it isn't worth stressing about school or assignments if it takes such a toll on myself. This study helped me realize that my wellbeing was valuable in a sense, that it was more than just a number of agreement or disagreement on a page and that I had to start making serious changes to enjoy life more. As I have taken upon a more positive outlook on life and the situations I find myself in, my wellbeing has made a change for the better.","Wellbeing is the state of being well, being healthy both physically and mentally. It is being comfortable, happy and content with yourself. Feeling satisfied with yourself and being at peace with your mind and body.",4,5,5,5,4,4,4,3,3,3,3,3,4,4,3,"Mental Health,Meaning  and Purpose of Life,Life Satisfaction",NA,3,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,7,"My understanding may have changed a bit because before to me mindfulness didn't carry much weight but now that I value my own mindfulness much more, the term holds more importance to me. Also, in the past, I associated the more negative implications with mindfulness rather than thinking about it neutrally or positively.","I learnt that even though stress is a natural response to the environment you are in, it is still something you can have control over in some ways such as thinking more positively about situations rather than negatively can affect how stressed you are feeling.",Daily check ins were very helpful in consistently reminding myself that my mental health was of value and important so in that way it did meet my expectations. I found the coloring exercise not too have as much impact as actually answering the daily questions but I guess in a way it did allow me to relax a bit and become lost in my own thoughts.,I changed the way I view situations and my life in general. I realized having more positive mindset results in more positive outcomes.,"Perhaps for the next mindfulness study/survey, the implementation of calming exercises may be more beneficial and effective in changing one's wellbeing or their perspective on it. Perhaps I'm just not a very big fan of coloring but having a different task may be more effective in my opinion. Perhaps listening to some calming music or white noise? Well, this is just my suggestion but it depends on what the objective of the survey is. Best of luck to you on this research!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,5,5,5,5,38,3,32,64,38,44,28,5,70,23,18,23,6,15,7,6,10,10,6,45,12,9,5,9,10,12,15,13,26,35,24,Control,8527,3901,9/11/2023,2
119,"It has helped me feel productive as I was easily completing an extra task everyday. Accordingly, it had positively changed my well-being. ","The term well-being, to me, means an overall satisfaction with life, a healthy mind and mindset and good physical health. ",3,4,3,3,4,3,3,3,3,4,3,3,3,3,3,"Family,Mental Health,Life Satisfaction",NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Yes,"Positive outlook/looking forward to things, sense of accomplishment and importance ",5,"I believe it was confirmed to me that mindfullness is a way of being present with yourself and your mind and putting yourself first, allowing yourself to feel your feelings and try to change them in a positive way or at least acknowledge them. This was confirmed to me as I spent time reflecting on how I felt everyday, acknowledging my feelings, and spent time coloring, being present with myself.","No, my understanding of stress did not change as I felt like my stress was not affected by the study. It allowed me to acknowledge and realize I was stressed, however it remained there and remained as a feeling of worry, concern and anxiety even during the exercises. ",It has met my goal of being able to take 10 minutes out of my day to reflect on my feelings and take a break. It has helped me manage my time and my memory. ,My sense of accomplishment and productivity changed. I was also able to identify when I was most stressed and used that moment as a break to beging my study and calm down.,"I suggest for questions before and after the mindfulness exercise (coloring) to be more various in terms of what else could be affected by taking time for ourselves? There could also be other activities (aside from coloring) that are geared towards mindfulness in which each participant chooses what to participate in. ie: writing a short story about a topic specified, drawing, playing a game, etc...",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,7,6,6,5,6,53,3,13,56,27,24,32,4,40,18,13,25,5,17,4,9,8,10,7,36,8,6,10,6,6,8,9,4,18,27,18,Control,3414,4624,9/11/2023,2
121,It has stayed fairly constant due to external factors bringing my mood to lower levels than usual yet the exercises aided in maintaining normal levels.,Wellbeing refers to someones mental health and overall mood.,3,4,4,2,4,3,4,4,3,3,3,3,2,4,3,"Mental Health,Self-esteem,Physical Health",NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,No,NA,6,I think my belief that mindfulness being aware and one with your surroundings still runs true since that belief was the basis of all the exercises.,"My definition of stress changed slightly. Now I am aware of the fact that stress doesn't need to be all-consuming, and the emotion will eventually pass.",The study fit my expectations almost exactly. The daily instructions were very clear and allowed me to get a good idea of what the study would entail prior to the first survey.,"I feel I became more open-minded to the suggestions the ChatBot was providing when, in the past, I have always been opposed to mindfulness activities because I thought it was a waste of time.",The only suggestion I would make is that all the mindfulness activities suggested by the chatbot seemed very similar and repetitive.,6,7,7,7,5,5,3,4,5,I liked it the instructions were always clear and I enjoyed how it would adjust the activity based on the prompt I gave it.,NA,NA,NA,NA,NA,NA,NA,NA,43,3,24,65,24,38,31,5,48,24,17,24,6,18,7,8,8,10,7,38,8,12,7,5,6,14,12,9,26,28,29,Domain,2346,4687,9/11/2023,2
122,"I feel more organized and comfortable with the tasks university is throwing at me. I feel that if there is a challenge coming my way, the means at which I tackle the challenge have changed. I focus on what I can do, and tackle the negative aspects in a different way. A way that doesn't get me worked up, so I can attempt the task in a different manner than before.","Wellbeing is a state of comfort and calm. Similar definition as before, but now I understand the means of getting to said state. ",4,3,3,4,4,4,4,3,3,4,3,4,4,4,4,"Close Social Relationships,Meaning  and Purpose of Life,Life Satisfaction",NA,3,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,6,I feel that my general understanding of mindfulness remained the same. It was confirmed that mindfulness was a process that brings one back to the present to calm the busy mind. To ground emotions and centre thoughts.,"The definition of stress also remained the same for me. Stress is a feeling of discomfort often triggered by a threatening event or feeling of overwhelmingness. After this study, I was able to recognize feelings of stress, label them, and then use mindfulness techniques to deal with them.","This training helped with stressful events going on in my life. If taught me how to apply mindfulness to all corners of my life, other than just general stress. It was very useful in labelling feelings and dealing with emotions (a skill I set out to improve).","I can label emotions better. I used to feel a sense of confusion when experiencing negative emotions, and I never really knew what to do with these feelings. This has changed. ",It was a overall helpful experience and I will continue to carry these skills into future aspects of my life.,6,7,6,6,4,5,7,6,6,I thought it was very unique and inventive (something I've never really come across before). I thought it was very good at articulating helpful tips and techniques and it actually generated useful responses to my exact sentences.,NA,NA,NA,NA,NA,NA,NA,NA,40,2,27,87,33,33,33,6,60,32,25,30,6,14,5,10,6,9,7,46,11,10,8,5,12,11,11,10,21,27,22,Domain,6501,3367,9/11/2023,2
123,"I feel like I may have began to, without thinking, better the way I talk to myself, and allowed myself to be more honest about current situations and how I feel.","I would define wellbeing as being able to take care of yourself, your health and satisfaction by taking control of your emotions and how you handle situations in life.",4,4,2,4,4,3,4,3,3,4,3,4,4,3,3,"Happiness,Life Satisfaction,Meaning  and Purpose of Life",1,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,5,My understanding of mindfulness may have changed in that now I see that it is more of an active process instead of just a mindset.,"I understand stress as more of a drive from our brains to get us to do work, and I've grown to appreciate it now as it helps us do difficult tasks.","I didn't know what to expect, but I enjoyed participating and coloring in the drawings.",I saw that I began to slightly look forward to the surveys as a sort of recreation.,"I would suggest improving the drawing tool, as it was really hard and inconvenient to draw on my phone, and it kept scrolling every time I tried to go up or down.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,6,7,4,5,2,2,39,3,23,70,27,26,25,5,50,25,19,26,5,14,4,5,9,6,9,50,8,13,10,9,10,11,13,11,30,22,13,Control,2752,4483,9/11/2023,2
124,Not that much,Wellbeing is a mindset you have that can be changed to positive when thinking of situations in a new light.,4,3,3,4,3,3,2,3,3,2,3,3,4,3,3,"Self-esteem,Close Social Relationships,Education",NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,1,NA,NA,No,NA,3,"The act of being self-aware of emotions in the present, with acceptance and without judgment","It did not change, stress is a state of worry/uncertainty.",The training is what I expected in the methods it provided.,"Nothing much has changed, I did not really come across a super stressful or negative experience recently to use the methods.",I wish there was more variety through out the days.,4,7,2,7,1,2,4,3,3,I like the supportive responses but the prompts were repetitive which I did not really like.,NA,NA,NA,NA,NA,NA,NA,NA,55,3,21,44,15,36,40,4,36,13,12,19,2,8,6,5,5,9,6,34,9,3,6,11,5,13,10,5,8,9,3,Choice,9330,4642,9/11/2023,2
126,"My wellbeing hasn't changed noticeably in my opinion, it's about the same since last week, maybe a little better since I'm more settled into school.",Wellbeing to me means the state in which you are generally happy and healthy and your mental health is in a good place.,3,3,3,2,3,3,3,3,3,4,3,3,3,3,3,"Mental Health,Happiness,Close Social Relationships",2,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,4,I think I mindfulness is still that sense of awareness of yourself and everything around you.,"Stress to me is still feeling like you can't handle what you think the future is going to bring or what has already been brought upon you, even though it only stems from your thoughts.",It got me started a little bit more into meditation and I have been meditating here and there when I get the chance.,"Nothing that I can really point out except doing meditation slightly more often, like once or twice a week.",No.,5,5,5,5,4,4,5,5,4,"Sometimes it felt a little repetitive, I thought for each topic I would get to use a new strategy that would be heavily related to the topic, but I ended up getting the same kind of meditation a lot. For example, I think for one of the topics like education or something I was suggested to meditate and I couldn't see the correlation.",NA,NA,NA,NA,NA,NA,NA,NA,53,3,23,33,20,29,29,4,43,12,11,10,4,11,2,6,5,10,10,37,13,6,4,6,8,10,12,12,17,26,11,Domain,4772,4621,9/11/2023,2
127,No,The term wellbeing stills means the same for me. Being comfortable and secure ,2,2,3,3,3,3,1,3,3,2,3,3,1,1,3,"Physical Health,Mental Health,Close Social Relationships",NA,NA,1,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,5,"yes I do, for me mindfulness means the capacity of being aware of your environment and yourself","No it didn't, this couple weeks have been kinda stressful since there was a lot of content to study.",At first I thought the experiment were going to be more difficult to handle but actually it was really easy,I started to notice my emotions and thoughts a lot more,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,7,7,6,7,4,4,50,3,35,75,33,24,41,3,68,29,26,20,4,13,8,7,5,7,6,47,13,11,6,7,10,15,11,9,32,30,6,Control,9773,3985,9/11/2023,2
128,My wellbeing has changed by being more calm and at peace in stressful situations by practicing the methods taught to me during this study.,"Wellbeing is how good and content you feel, which could be about yourself, your relationship with others, and overall in general.",2,3,3,4,4,3,3,3,3,3,4,4,2,3,3,"Happiness,Life Satisfaction,Close Social Relationships",1,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,6,"My understanding of mindfulness did not change, it was confirmed to me that it is about being at peace and separating your thoughts from your sense of self",My understanding of stress did not change because it is still the worry and unease felt during times of usually change.,It has met my expectations as there has been slight change in my behaviour and mindset.,I noticed that at times when stress was I used the methods to calm down and find myself again.,Possibly keep track of how many times each method was practiced so participants can notice if they have not tried one as much as another.,7,7,6,7,5,5,7,6,6,I liked that the chatbot responded to things the way a human would and offered advise and support when necessary.,NA,NA,NA,NA,NA,NA,NA,NA,49,3,33,78,30,28,27,4,63,25,23,30,5,14,4,8,7,6,6,50,8,9,9,13,11,11,12,9,21,24,1,Choice,7957,4627,9/11/2023,2
131,"It somewhat improved my wellbeing in the brief 10 minutes of the daily survey, but not really outside of that time frame","wellbeing means mentally and emotionally healthy, or happy and content",3,3,3,3,3,3,4,3,3,4,3,3,2,3,3,"Happiness,Mental Health,Life Satisfaction",1,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,5,"I learned about disidentification, positive reappraisal, and nonreactivity. ",My understanding of stress did not change because I experienced a lot of stress and it felt like stress,"The training fulfilled my expectation of learning new ways to achieve mindfulness, even though the effects were very short-lived.","Nothing changed permanently, but I did notice that I was able to be slightly more in control of my emotions for the short 10 minutes of the daily surveys",Nope,7,7,7,7,3,3,6,6,6,I was impressed because it felt really human and I liked it because it was really nice to me,NA,NA,NA,NA,NA,NA,NA,NA,56,3,17,49,16,17,38,2,33,14,10,25,3,10,3,7,7,9,6,36,10,6,9,4,7,7,6,4,11,18,4,Choice,9779,4249,9/10/2023,2
132,made me notice the small things through breathing exercises,being well mentally emotionally physically and feeling well,4,3,4,2,4,3,4,4,4,4,4,4,4,4,3,"Close Social Relationships,Financial and Material Stability,Life Satisfaction",NA,3,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,No,NA,6,yes i’ve understood how being mindful is basically slowing down your ideas and thoughts,stress understand is the same however how to overcome it is new and calming  ,to a certain good extent where i was happy and more mindful. it helped me find myself during my lows,i got calmer and smarter while dealing with stress and anxiety. i was also more mindful and less hard on myself,n/a,5,2,5,4,6,6,6,6,5,it was glitching and spammed at times but was overall very exciting and helped me understand myself at a deeper level,NA,NA,NA,NA,NA,NA,NA,NA,39,1,28,78,35,28,32,5,63,22,29,27,5,12,8,6,5,6,5,46,12,10,8,6,10,9,10,12,25,24,26,Choice,6078,4387,9/10/2023,2
134,Not much,"Feeling good, having a healthy outlook on life staying positive and trying to get through with life somewhat of a purpose",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Happiness,Financial and Material Stability,Close Social Relationships",1,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,Yes,Love,4,"It did somewhat i guess, mindfulness is about focus and conscious focus",No it did not change stress means overwhelming emotion of anticipation mixed with fear,I did not have much goals or expectations so there is no standard to base this answer on,"Nothing changed really i feel the same as i did before the survey, maybe im not noticing the change im not sure",Nope,6,6,5,6,1,1,1,7,4,It was a okay tool not very advanced but doe the job well,NA,NA,NA,NA,NA,NA,NA,NA,54,3,16,49,20,21,49,3,36,15,16,18,1,10,3,7,3,9,8,30,6,5,6,7,6,5,5,12,6,24,14,Domain,6882,4597,9/11/2023,2
135,"I can't say for sure since during this time I had many things going on as well, such as moving cities and having to travel further to get to university. But I think I've adjusted since the beginning of this study.",Wellbeing is able to understand yourself and be able to make changes to keep your wellbeing updated in terms of dealing with whatever may come your way.,4,3,4,3,3,3,4,3,4,3,4,2,2,3,3,"Life Satisfaction,Financial and Material Stability,Family",NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,No,NA,5,"I doubt it has changed much, the term of mindfulness I have has been built over 18 years.","Stress to me will always be something horrible for me, since it causes me physical pain at times.","I'd say 50/50, as some of the exercises helped me at time but others didn't really make sense. ","That whenever I was heated about something, I was able to step back and view myself in third person which helped me.",I think maybe if it was more fun. At times it felt too repetitive. ,6,7,4,6,2,3,2,6,5,I liked that whenever I would say something I disliked it would offer it's help in another way instead of asking me to expand.,NA,NA,NA,NA,NA,NA,NA,NA,52,3,19,57,27,29,19,4,46,24,14,19,5,9,6,8,6,8,7,33,7,8,8,6,4,9,7,15,12,29,28,Domain,5533,4792,9/12/2023,2
136,It had got better. I noticed that I no longer have a fear of failing in my courses but instead confidence. This study has made me more aware of the way I think because it has been asking about my thoughts and emotions which made negative thoughts easier to get rid of.,"The term ""Wellbeing"" now means being happy by constantly thinking positively and not letting stress or negative thoughts make you feel sad. I would describe wellbeing as the average rate of happiness within a week and that is affected by mostly your own thoughts. After this study, I define wellbeing as being able to think positively even though you might be often surrounded in negative environments.",4,4,5,4,5,4,5,3,3,3,3,5,5,4,5,"Happiness,Life Satisfaction,Meaning  and Purpose of Life",1,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,6,Yes it has. I know now that being mindful requires regularly watching and being aware of the thoughts you have and to take time to ignore everything else for a small bit of time to introspect to be mindful. My mindfulness has gotten because I can better notice negative thoughts and be able to change them. Another thing about mindfulness that changed is I am able to realize that I had a positive thought and I felt proud of myself for being able to think that way.,"Not really, The thing that was confirmed to me is that stress is hard to get rid of and it is easy to fall into hold habits of coping with stress. It was also confirmed that if I train myself to think more positively and confidently, I can avoid feelings of stress.",The training has met my goals and expectations effectively. I just wish the questions had more variety in them and different activities so every survey would not feel the same. I expected to have a summarized report where I could check how I was feeling throughout the week but I cannot access the info anymore once I completed the survey so it is really hard to tell how much progress I made. I think it would be better if I could see the reports of all the days.,"Yes, I noticed that I can now better watch myself think because I was asked about it everyday for 7 days. I think that will start to become a habit and it will help me to think more rationally and clearly. I also felt a bit more responsible and mature for committing  myself to this activity for 7 days in a row. ","The colouring was not fun, it did distract me for 5 minutes, but I think  a better way to get people to relax is guided meditation or some ASMR activities or videos. I think this would have made the daily surveys more meaningful and make us feel better at the end of them. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,4,3,2,4,3,3,50,3,31,81,27,39,13,6,58,23,25,33,6,16,8,7,8,10,7,51,11,8,13,5,14,13,10,15,26,33,16,Control,6404,4012,9/10/2023,2
