,Duration (in seconds),Practice_Rating,Practice_LikeDislike,Apply_Practice,BaselineDate,Condition,RandomID,id,StudyDay,CurrentDate,Positive_pre,Negative_pre,Stress_pre,Positive_post,Negative_post,Stress_post,Disidentification,Nonreactivity,Reappraisal,Satisfied,Autonomy,Relatedness,Competence,Belonging,Meaning,PosAffect,NegAffect,Stressed
852,450,4,"I like this exercise because it allows me to focus only on people who bring joy into my life, which boosts my mood. Something that always cheers me up is talking to my family , and since I am apart from them it’s nice to take a moment to just think about them. ","I can apply this practice when I am feeling overwhelmed and lonely, or frustrated with my social life. Since it almost forces me to replace my negative thoughts with the positive ones of those I cherish. ",9/9/2023,Value,3838,3481,6,2023-09-15T00:00:00.000Z,3,2,5,3,2,5,4,4,4,3,4,3,5,3,3,3,2,5
854,385,NA,NA,NA,9/13/2023,Control,2465,3541,2,2023-09-15T00:00:00.000Z,3,1,5,3,1,4,5,5,4,5,4,6,4,4,4,3,1,4.5
855,503,NA,NA,NA,9/10/2023,Control,5869,4399,5,2023-09-15T00:00:00.000Z,3,2,4,3,2,2,6,6,6,6,6,6,5,6,6,3,2,3
857,354,NA,NA,NA,9/10/2023,Control,1900,4576,5,2023-09-15T00:00:00.000Z,4,2,4,4,2,4,3,4,6,6,6,7,7,6,6,4,2,4
858,1237,6,i liked how i was able to disconnect myself from the things that stressed ne out,I think i can apply this to my daily life by not overthinking the things i do and try finding the positive side of the activities that stress me out,9/8/2023,Choice,2597,3808,7,2023-09-15T00:00:00.000Z,4,1,3,4,1,3,5,6,5,6,6,6,6,6,5,4,1,3
860,383,NA,NA,NA,9/10/2023,Control,2175,4273,5,2023-09-15T00:00:00.000Z,4,2,3,4,3,2,4,5,6,7,3,4,6,4,5,4,2.5,2.5
862,3782,NA,NA,NA,9/8/2023,Control,6001,4186,7,2023-09-15T00:00:00.000Z,4,2,2,3,2,3,5,5,5,5,5,5,6,6,5,3.5,2,2.5
863,1429,5,What I like about the recommended exercise is that it helped me to dissociate myself from my thoughts,"I can apply the recommended mindfulness practice in my daily life by using it in times when I feel that my thoughts are taking over me, and want to stop them from taking up too much head space.
 ",9/8/2023,Choice,1388,4138,0,2023-09-15T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
864,494,5,I enjoyed thinking about the things in life that I am grateful for because it reminds me that people care about me.,"When I'm feeling unhappy or unlucky, I can use this exercise to help me realize I'm doing a lot better than I think I am.",9/11/2023,Value,4772,4621,4,2023-09-15T00:00:00.000Z,3,1,3,3,1,2,4,4,4,5,4,5,5,4,5,3,1,2.5
865,481,5,I liked how this exercise can be easily incorporated into parts of everyday life and how it lets me feel present in the moment. ,I can do this practice when walking to class or walking my dog. ,9/8/2023,Value,8785,3649,7,2023-09-15T00:00:00.000Z,3,1,4,3,1,4,4,4,5,4,6,6,3,4,5,3,1,4
866,1392,5,I dislike that the same questions are asked over and over but I liked learning that you can separate your thoughts from yourself and realize that your thoughts don't define you ,I can think of my negative thoughts as clouds and let them drift away,9/12/2023,Choice,7231,5341,3,2023-09-15T00:00:00.000Z,4,2,4,4,3,2,5,5,5,5,5,6,6,7,6,4,2.5,3
867,456,NA,NA,NA,9/11/2023,Control,3546,4606,4,2023-09-15T00:00:00.000Z,4,5,5,3,4,5,4,5,5,5,5,5,5,6,3,3.5,4.5,5
868,642,5,"i like that the instructions are simple and easy to follow, like i can really start practicing them in daily life",i will make sure to be more aware of how i am handling situations and being more respectful in my reactions to things,9/10/2023,Choice,2349,4441,5,2023-09-15T00:00:00.000Z,5,2,5,5,2,3,6,7,3,5,5,5,3,5,2,5,2,4
869,472,6,I like the way it allows you to pay attention to every detail in your body that you may overlook. When I get hurt I tend to ignore it so this exercise allowed me to notice all the discomforts i had been ignoring,I can apply this exercise after my workouts so that I can relax my body and mind after a good gym session. This will also allow me to appreciate the amount of work my muscles put into that workout session.,9/8/2023,Value,5520,4153,7,2023-09-15T00:00:00.000Z,4,1,1,4,1,1,6,7,7,6,6,7,6,5,6,4,1,1
870,553,6,"The exercise was too simple and doesn't provide a significant solution long-term, since if you're already feeling down about achieving your goals/aspirations, relaxing and thinking about those goals more extensively doesn't bring you to a better mood. It only lets you think more.","I could possibly pair this with some other exercises recommended in the past, to combine into a short 2-5 minute mindfulness practice to do daily. ",9/10/2023,Value,6535,4465,5,2023-09-15T00:00:00.000Z,5,1,5,5,1,4,6,5,5,5,5,6,6,6,6,5,1,4.5
873,435,NA,NA,NA,9/8/2023,Control,7329,3706,7,2023-09-15T00:00:00.000Z,1,4,3,1,3,1,3,4,1,1,3,1,3,1,2,1,3.5,2
874,374,NA,NA,NA,9/10/2023,Control,4322,3502,5,2023-09-15T00:00:00.000Z,4,1,1,4,1,1,6,6,6,6,6,5,7,6,6,4,1,1
875,2114,1,I disliked that it made me feel worse emotionally. ,Whenever I need to reconnect with my body. ,9/9/2023,Value,4817,4324,6,2023-09-15T00:00:00.000Z,3,1,4,2,3,5,1,2,4,2,1,2,2,4,1,2.5,2,4.5
876,419,NA,NA,NA,9/10/2023,Control,6901,4594,5,2023-09-15T00:00:00.000Z,2,2,4,2,2,3,3,3,2,2,3,3,2,3,2,2,2,3.5
877,18960,NA,NA,NA,9/11/2023,Control,2752,4483,4,2023-09-15T00:00:00.000Z,3,1,2,3,1,2,3,2,3,5,4,4,5,4,4,3,1,2
878,457,4,It’s nice to practice the skill,I can take a moment to slow down and try to see the positive side of every situation,9/10/2023,Choice,9779,4249,5,2023-09-15T00:00:00.000Z,3,2,2,3,2,2,3,4,3,4,4,2,4,5,5,3,2,2
879,21584,6,"I liked that it talked about how when you journal you have to write with a stream of consciousness, a bit like ""word-vomit"". My worries are long and never ending like a stream so being able to do that really helped me feel better. I really did feel myself feel less anxious.",I can either do it in the morning to prepare for school or do it at night before I go to bed after I went through my day and need to vent.,9/8/2023,Value,8559,4114,7,2023-09-15T00:00:00.000Z,1,3,6,2,1,4,4,4,3,4,4,3,1,5,3,1.5,2,5
880,357,NA,NA,NA,9/10/2023,Control,8908,4456,5,2023-09-15T00:00:00.000Z,4,2,3,3,1,1,5,5,3,5,4,5,4,4,4,3.5,1.5,2
881,478,5,I liked that I was able to remove all the negativities so I can shed more light onto the positive moments of today. ,"I had a really bad day today, and I know it may not sound true, but this activity really helped, even if a little bit. At the end of the day, I realized that negative moments are temporary. That tomorrow is a new day for me to look at more positively. I just wish the effect of this practice would last longer when I'm feeling lonely with just a bunch of horrible thoughts floating around in my head. ",9/11/2023,Choice,3743,3379,4,2023-09-15T00:00:00.000Z,1,5,7,1,4,6,2,3,4,2,2,1,2,6,3,1,4.5,6.5
882,515,4,I liked that the recommended exercise acknowledged that thoughts can race through one's mind really quickly.,I can apply the recommended mindfulness practice in my daily life by grounding myself more when thoughts are racing by sitting down and observing them.,9/8/2023,Choice,4429,3997,7,2023-09-15T00:00:00.000Z,2,3,6,1,3,5,2,3,2,3,3,2,1,4,2,1.5,3,5.5
884,430,2,I cannot see much self using it,By using them in stressful times.,9/11/2023,Choice,9330,4642,4,2023-09-15T00:00:00.000Z,4,1,2,4,1,2,4,5,4,5,5,6,2,6,1,4,1,2
885,363,NA,NA,NA,9/10/2023,Control,6404,4012,5,2023-09-15T00:00:00.000Z,4,1,1,4,1,1,7,7,4,7,7,4,3,6,3,4,1,1
887,487,NA,NA,NA,9/10/2023,Control,1885,4501,5,2023-09-15T00:00:00.000Z,4,2,2,4,3,3,4,3,7,6,4,5,3,3,3,4,2.5,2.5
888,1025,NA,NA,NA,9/8/2023,Control,6096,4192,7,2023-09-15T00:00:00.000Z,4,1,3,4,1,2,3,5,4,5,6,7,2,4,3,4,1,2.5
891,475,7,"I liked how even though I did it before, I was able to understand new things about my emotions and not letting them control me.",I will not let my emotions control me and take the time to meditate and observe my emotions before making a choice on how to react to a situation,9/9/2023,Choice,4724,4345,6,2023-09-15T00:00:00.000Z,4,1,2,4,1,2,7,6,5,6,6,7,5,6,7,4,1,2
892,417,NA,NA,NA,9/8/2023,Control,7775,4159,7,2023-09-15T00:00:00.000Z,5,2,1,NA,1,1,7,5,4,7,7,7,7,7,5,NA,1.5,1
896,692,7,I like the program’s recommendation of meaningful activities,When I go thorough negative situation ,9/8/2023,Choice,2716,3595,7,2023-09-15T00:00:00.000Z,4,1,3,4,1,2,6,7,6,6,6,7,6,5,6,4,1,2.5
897,414,NA,NA,NA,9/9/2023,Control,4870,4333,6,2023-09-15T00:00:00.000Z,1,5,1,1,NA,1,1,1,1,1,3,1,2,3,3,1,NA,1
898,615,4,"It's good for those who have an easy time visualizing. For me, I can't see things very vividly so it's usually a very dim, blurry image. But I guess with practice, I could develop my visualizing skills more. ","If I feel distressed, I can try to take some time to remind myself to take a step back and just remember that I am separate from my thoughts. This would be especially helpful whenever I have intrusive or distressing thoughts because I tend to dwell on them and then I feel bad.",9/11/2023,Choice,7086,3838,5,2023-09-16T00:00:00.000Z,3,1,1,3,1,1,4,5,5,4,3,5,2,3,4,3,1,1
899,464,NA,NA,NA,9/11/2023,Control,1453,5533,5,2023-09-16T00:00:00.000Z,3,3,4,4,2,2,4,5,5,4,5,5,4,5,5,3.5,2.5,3
900,645,NA,NA,NA,9/12/2023,Control,4992,5365,4,2023-09-16T00:00:00.000Z,1,5,NA,1,NA,NA,7,7,3,1,1,3,1,2,1,1,NA,NA
901,540,5,It is something i can incorporate into my life fairly easily,"When taking my dog for a walk, instead of spacing out like I usually do, I can be mindful ",9/13/2023,Value,7290,3523,3,2023-09-16T00:00:00.000Z,3,2,2,3,1,2,4,5,5,6,4,5,5,4,5,3,1.5,2
903,363,NA,NA,NA,9/11/2023,Control,9746,4738,5,2023-09-16T00:00:00.000Z,4,2,3,3,1,2,3,1,1,4,3,2,3,5,4,3.5,1.5,2.5
905,410,NA,NA,NA,9/11/2023,Control,6562,4645,5,2023-09-16T00:00:00.000Z,5,1,3,4,1,3,5,6,6,5,5,5,7,7,4,4.5,1,3
906,432,5,I like how i was able to feel myself and physically be present in the moment ,Maybe when I feel that the world is overbearing and that time seems to pass me by I could take a minute to just feel myself existing.,9/12/2023,Value,5533,4792,4,2023-09-16T00:00:00.000Z,3,2,3,3,2,3,2,6,5,4,4,5,5,3,5,3,2,3
908,444,NA,NA,NA,9/12/2023,Control,5550,3850,4,2023-09-16T00:00:00.000Z,3,2,4,3,2,3,5,5,5,3,4,5,4,6,4,3,2,3.5
909,541,NA,NA,NA,9/11/2023,Control,9773,3985,5,2023-09-16T00:00:00.000Z,3,3,6,3,3,6,4,6,5,4,5,6,6,7,5,3,3,6
910,557,5,I like how this exercise showcases different ways/perspectives to picture your thoughts going by because it allows the user to choose which way of analyzing their thoughts is best for them,"When stressed out, I can analyze my thoughts so that I can calm down and make better choices ",9/10/2023,Choice,4026,4417,6,2023-09-16T00:00:00.000Z,4,1,1,4,1,1,7,6,6,6,6,6,5,5,6,4,1,1
911,342,NA,NA,NA,9/12/2023,Control,4161,4555,4,2023-09-16T00:00:00.000Z,4,1,1,4,1,1,5,5,5,5,5,6,4,5,5,4,1,1
912,444,6,I liked the visuals provided like the sky and the feelings represented as clouds because it helped me visualize what’s going on in my head.,This exercise helped me realize that my emotions are temporary and I don’t have to live through all of them. It’s normal to feel things sometimes because it doesn’t mean that’s how I’m going to always feel. I can practice this daily when I feel overwhelmed and feel like my emotions are taking over.,9/10/2023,Choice,4708,3730,0,2023-09-16T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
913,779,7,I like the encouraging scenarios that the AI provided for me,Look at the positives in my life ,9/10/2023,Choice,2135,3829,6,2023-09-16T00:00:00.000Z,5,1,3,5,1,3,7,7,7,6,7,7,7,7,7,5,1,3
914,346,NA,NA,NA,9/9/2023,Control,4870,4333,7,2023-09-16T00:00:00.000Z,5,5,5,1,NA,6,1,1,1,1,1,1,1,1,1,3,NA,5.5
915,456,NA,NA,NA,9/13/2023,Control,8134,4096,3,2023-09-16T00:00:00.000Z,3,2,6,3,1,4,2,6,5,6,6,6,5,6,3,3,1.5,5
916,387,NA,NA,NA,9/10/2023,Control,1900,4576,6,2023-09-16T00:00:00.000Z,5,1,1,NA,1,1,1,5,5,7,7,7,7,7,7,NA,1,1
917,456,6,i like that the exercise is a mix of meditation and self reflection,i can apply this practice by focusing on daily meditations and thinking about all the love I have in my life ,9/9/2023,Value,5547,3316,7,2023-09-16T00:00:00.000Z,4,1,3,4,1,3,4,5,6,6,4,6,6,6,7,4,1,3
918,408,NA,NA,NA,9/11/2023,Control,8527,3901,5,2023-09-16T00:00:00.000Z,4,1,2,4,1,2,4,4,4,4,4,5,5,6,4,4,1,2
919,2820,5,I liked how I was given a step by step breakdown on how I was supposed to reflect on my issues. For some reason it was easier than I thought to imagine my problems as water floating in front of me while I was on shore. This was definitely easier today than it was a few days ago. ,"I can begin looking at my issues as images in a book, or as something that is disconnected from my mind. This way I can look at the problem from the outside instead of stress about it, along with the other things, in my mind. ",9/11/2023,Choice,3688,3304,5,2023-09-16T00:00:00.000Z,5,1,1,4,2,3,7,4,5,6,6,3,2,5,2,4.5,1.5,2
921,462,NA,NA,NA,9/11/2023,Control,2752,4483,5,2023-09-16T00:00:00.000Z,3,1,1,3,1,1,3,4,4,5,5,5,4,5,3,3,1,1
922,738,5,"I liked that it allowed me to consider the positive side of working hard today. I was stressed about all the work I had today and was hoping to go out since it's the weekend, but this exercise helped me understand that once I get all this work done, I will have time for myself. ","I will try this practice whenever I have a lot to tasks to get done and I feel overwhelmed by them. In a positive light, doing all this work helps prepare me for next week's lectures and allows me to get a good break without all the procrastination. ",9/11/2023,Choice,3743,3379,5,2023-09-16T00:00:00.000Z,1,1,7,2,2,6,5,6,7,4,4,1,7,7,5,1.5,1.5,6.5
923,617,6,I liked that it reflected on the work-life balance and how simple 5-minute activities can change how well we perform in our personal life and our work life,"Dedicate rest time in between the work because resting is a right, not a reward.",9/12/2023,Value,8725,4429,4,2023-09-16T00:00:00.000Z,5,1,1,5,1,1,3,5,5,6,5,6,6,5,6,5,1,1
924,760,5,"It's still hard to look for positives whenever something bad happens. It's something I hear so often that it just sounds like empty words. For me, I generally dislike this exercise, but I'm sure it could be helpful for someone else.","It would be helpful if there were any positive outcomes, but otherwise, I wouldn't use this exercise all the time. I think telling myself that challenges are what help us grow as people could help me when I'm trying to pull myself out of a bad situation.",9/11/2023,Choice,7086,3838,5,2023-09-16T00:00:00.000Z,3,1,1,3,1,1,4,5,5,4,3,5,2,3,4,3,1,1
926,376,NA,NA,NA,9/9/2023,Control,1784,4306,7,2023-09-16T00:00:00.000Z,1,1,4,1,1,3,2,4,1,1,3,2,1,5,2,1,1,3.5
929,451,6,"Body scan meditation seems important when first starting, but because of my prior experience and knowledge on what I need to focus on, I don't think the exercise benefits me other than for short-term goals or in case I had any additional stress or pressure. I liked the exercise but I feel the recommendation for practicing it for 10 to 15+ minutes a day is excessive.","This recommended exercise pairs well with prior advice and suggestions from the chatbot, so I could easily fit this recommended mindfulness practice into a morning routine.",9/10/2023,Value,6535,4465,6,2023-09-16T00:00:00.000Z,5,1,5,5,1,4,6,5,6,6,5,6,2,4,6,5,1,4.5
932,451,3,I liked that it could help with stress relief. I disliked that it did not have an affect on emotions.,This can be applied during moments of specific stressful situations.,9/11/2023,Choice,7957,4627,5,2023-09-16T00:00:00.000Z,1,3,5,1,3,4,4,3,5,2,2,2,2,4,2,1,3,4.5
934,4555,5,calming and anxiety reliving ,"using the method of detachment, i can separate myself from my emotions. ",9/10/2023,Choice,6078,4387,0,2023-09-16T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
935,8416,3,I wasn't that prepared for a walk but it was still nice to get away from the computer.,"Take walks more often, or at least more breaks in general.",9/11/2023,Value,4772,4621,5,2023-09-16T00:00:00.000Z,4,1,3,4,1,3,3,3,3,4,3,3,3,3,3,4,1,3
936,5784,5,"I liked that even though I didn't feel calm today, I felt like I could very easily apply this exercise to many different areas of my life",I can see the positive parts of situations now instead of immediately jumping to the negatives and possibly letting those affect my emotions,9/9/2023,Choice,4724,4345,7,2023-09-16T00:00:00.000Z,4,1,1,4,1,1,3,6,6,4,6,4,6,4,6,4,1,1
937,640,NA,NA,NA,9/10/2023,Control,8908,4456,6,2023-09-16T00:00:00.000Z,3,1,2,3,1,3,5,4,3,4,4,3,5,4,4,3,1,2.5
938,365,NA,NA,NA,9/11/2023,Control,3546,4606,5,2023-09-16T00:00:00.000Z,1,2,6,1,2,4,4,3,4,2,2,2,2,3,2,1,2,5
939,1068,5,Although breathing exercises help me relax usually I was too angry today ,"When I feel strong emotions, I can stop and breathe before continuing.",9/11/2023,Value,2346,4687,5,2023-09-16T00:00:00.000Z,1,4,2,2,4,2,1,1,5,4,5,3,6,5,3,1.5,4,2
940,472,NA,NA,NA,9/10/2023,Control,4322,3502,6,2023-09-16T00:00:00.000Z,3,1,1,3,1,1,5,5,5,5,4,5,6,6,5,3,1,1
941,444,4,It was nice to take time to reflect on some things,I can use it to slow down and think about things,9/10/2023,Choice,9779,4249,6,2023-09-16T00:00:00.000Z,3,1,2,3,1,2,4,5,4,4,4,3,4,5,3,3,1,2
942,468,2,It was fine. Very generic. Nothing to dislike or like in particular,Meditating everyday i guess,9/11/2023,Value,6882,4597,0,2023-09-16T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
943,4162,5,I liked this exercise because it was simple and boosted my mood.,I can apply this practice whenever I’m feeling lonely or missing my family. And it will push me to be more forward about socializing.,9/9/2023,Value,3838,3481,7,2023-09-16T00:00:00.000Z,3,2,4,3,1,3,3,3,3,4,4,3,3,2,3,3,1.5,3.5
944,1333,3,I disliked that it made me more anxious,When taking a break. ,9/9/2023,Value,4817,4324,7,2023-09-16T00:00:00.000Z,3,1,2,4,1,2,2,3,6,5,4,6,6,6,2,3.5,1,2
945,520,NA,NA,NA,9/10/2023,Control,6901,4594,6,2023-09-16T00:00:00.000Z,3,3,6,3,3,5,4,3,2,1,2,3,3,3,3,3,3,5.5
946,2727,NA,NA,NA,9/11/2023,Control,3414,4624,5,2023-09-16T00:00:00.000Z,4,3,5,4,3,5,3,3,3,4,4,6,3,3,4,4,3,5
947,615,2,I do not really see myself using it and it being helpful to me personally.,By using them when I am thinking of a negative situation.,9/11/2023,Choice,9330,4642,5,2023-09-16T00:00:00.000Z,4,1,2,4,1,2,4,4,4,4,7,5,1,5,4,4,1,2
951,2597,4,I liked the exercise cause it made me recall and confront a bad memory. The guidance through the memory helped me free up some of my stress. ,I will refer to deep breaths to control and manage my stress. ,9/9/2023,Choice,7733,4252,7,2023-09-16T00:00:00.000Z,2,1,4,2,1,2,2,2,3,3,2,3,3,2,4,2,1,3
952,40814,4,its repetitive from the other days there is no new training as I have done this topic in the previous days,thing of a positive aspect of a stressful situation when faced with one,9/12/2023,Choice,3776,3520,4,2023-09-16T00:00:00.000Z,3,1,2,3,1,3,3,4,4,4,5,5,6,5,5,3,1,2.5
954,954,NA,NA,NA,9/9/2023,Control,9010,3565,7,2023-09-16T00:00:00.000Z,5,2,3,3,2,4,4,3,5,5,4,6,3,3,3,4,2,3.5
957,1016,7,I liked the guided meditation a lot. I feel a lot more relaxed in my body and mind. ,I would most definitely make this a part of my routine. I feel joyful and content after this exercise. ,9/12/2023,Value,4846,3490,4,2023-09-16T00:00:00.000Z,5,1,2,5,1,1,1,6,7,7,7,6,6,7,7,5,1,1.5
958,16389,5,it was the same as the exercise before but I like the idea of non reactivity,Think before you react to things occurring in your life.,9/12/2023,Choice,7231,5341,4,2023-09-16T00:00:00.000Z,4,1,4,5,1,5,3,5,5,7,5,7,6,6,6,4.5,1,4.5
961,46155,7,I dont like how its very repetitive. ,Using it in in stressful events and emotions,9/9/2023,Choice,5434,3847,7,2023-09-16T00:00:00.000Z,5,1,1,5,1,1,7,7,7,7,7,7,7,7,7,5,1,1
962,825,3,i don’t like that there are only 3 exercises to pick from for the 7 day period,i can make sure to separate myself from my thoughts and feelings and realise that they do not define me,9/10/2023,Choice,2349,4441,6,2023-09-16T00:00:00.000Z,1,4,6,1,4,6,2,5,2,2,3,3,2,4,5,1,4,6
963,27088,NA,NA,NA,9/10/2023,Control,5869,4399,6,2023-09-16T00:00:00.000Z,4,2,2,4,2,2,6,5,6,6,6,6,6,6,6,4,2,2
965,581,NA,NA,NA,9/10/2023,Control,2175,4273,6,2023-09-16T00:00:00.000Z,4,2,3,3,2,3,5,4,3,4,5,6,3,4,1,3.5,2,3
966,550,NA,NA,NA,9/11/2023,Control,1453,5533,5,2023-09-16T00:00:00.000Z,2,3,5,3,2,3,4,5,6,4,4,5,5,5,5,2.5,2.5,4
967,352,NA,NA,NA,9/13/2023,Control,2465,3541,3,2023-09-16T00:00:00.000Z,3,1,2,3,1,1,4,4,4,5,5,6,5,5,5,3,1,1.5
968,444,NA,NA,NA,9/10/2023,Control,6404,4012,7,2023-09-17T00:00:00.000Z,5,1,2,NA,1,1,7,7,4,7,7,7,1,5,4,NA,1,1.5
969,634,5,I liked how accessible it was and buildable it was using other sources such as audio guided meditations.,Using the mantras when I am feeling anxious.,9/13/2023,Value,7290,3523,4,2023-09-17T00:00:00.000Z,4,1,1,4,1,1,5,5,5,6,5,7,5,5,6,4,1,1
971,363,NA,NA,NA,9/11/2023,Control,9746,4738,6,2023-09-17T00:00:00.000Z,4,2,3,3,2,3,2,2,2,4,5,4,3,3,4,3.5,2,3
973,1076,6,I liked how the exercise was effective enough to make me less stressful and feel more happy despite my negative situation prior to this. I also like how the chatbot is there to help/talk to me when I am feeling stressed out,"Whenever I feel stressed about the negative things told about myself, I will ignore that person so that an argument won't start, and care less about the situation by thinking about the positive aspects",9/10/2023,Choice,4026,4417,7,2023-09-17T00:00:00.000Z,2,1,3,4,1,1,5,6,6,5,6,4,5,5,7,3,1,2
975,461,6,"I liked that it gave me other tips to lessen my reactivity towards overwhelming emotions. The exercise took me back to past experiences where I reacted fast and perhaps did not have to because if I had calmed down for a moment, my mind could be at a less stressed and flustered space.","I liked the muscle relaxation method that was recommended by the chat box. Rather than just focusing on the mind, we can also focus on making the rest of our body less tense.",9/10/2023,Choice,4708,3730,7,2023-09-17T00:00:00.000Z,3,1,5,3,1,4,5,5,5,5,5,6,6,5,5,3,1,4.5
976,426,NA,NA,NA,9/13/2023,Control,8134,4096,4,2023-09-17T00:00:00.000Z,4,1,2,NA,1,2,6,7,6,6,7,7,6,7,6,NA,1,2
977,605,5,The advice was a bit too simple but it was an easy way to apply a mindful practice in a way that's quick and easy. I like the advice the chatbot suggested and it was fun overall.,"Today's practice could be used in situations where I have a little more time to spend thinking and reflecting instead of meditating or considering advice. For example, I could continue to use this practice when I'm on the bus since I'll have more time to complete it.",9/10/2023,Value,6535,4465,7,2023-09-17T00:00:00.000Z,5,1,6,5,1,5,5,6,6,6,5,6,4,5,6,5,1,5.5
978,431,NA,NA,NA,9/12/2023,Control,4161,4555,5,2023-09-17T00:00:00.000Z,4,1,2,4,1,2,5,5,5,5,5,6,5,5,5,4,1,2
979,377,NA,NA,NA,9/10/2023,Control,8908,4456,7,2023-09-17T00:00:00.000Z,3,1,3,4,1,2,6,6,3,4,5,4,7,5,4,3.5,1,2.5
980,431,3,it was a good exercise and is actually helpful ,apply it whenever you’re feeling down or overwhelmed ,9/11/2023,Value,6882,4597,0,2023-09-17T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
981,450,7,"When asked about stress, I was told to break tasks down into smaller pieces so I don’t feel overwhelmed.","I can look back at situations when I’m happier, this way I have a sense of control over my emotions and I can understand why I acted the way I did when I was under pressure. ",9/11/2023,Choice,3688,3304,6,2023-09-17T00:00:00.000Z,4,1,5,3,1,4,4,5,3,6,2,6,6,6,6,3.5,1,4.5
983,400,NA,NA,NA,9/11/2023,Control,2752,4483,6,2023-09-17T00:00:00.000Z,3,1,2,3,1,2,3,2,4,5,4,5,5,3,4,3,1,2
985,466,NA,NA,NA,9/11/2023,Control,8527,3901,6,2023-09-17T00:00:00.000Z,4,2,2,4,2,1,4,4,4,4,4,5,5,6,5,4,2,1.5
987,354,NA,NA,NA,9/11/2023,Control,3546,4606,6,2023-09-17T00:00:00.000Z,2,3,4,2,3,3,4,2,3,2,2,4,3,4,2,2,3,3.5
988,553,4,I liked how simple it was to implement,I can set aside a few minutes before going to bed every day to practice gratitude.  ,9/10/2023,Value,7040,4540,7,2023-09-17T00:00:00.000Z,3,2,5,3,2,5,4,4,4,4,4,4,3,4,5,3,2,5
989,496,NA,NA,NA,9/11/2023,Control,9773,3985,6,2023-09-17T00:00:00.000Z,3,3,NA,3,3,6,5,5,6,2,5,6,4,7,5,3,3,NA
991,437,5,i like that it makes me feel very confident in my ability to implement it into daily life,i will make sure to stay mindful of how my reactions can affect others and think about my actions before doing them,9/10/2023,Choice,2349,4441,7,2023-09-17T00:00:00.000Z,3,4,6,2,4,6,3,3,2,3,3,2,1,5,3,2.5,4,6
992,2544,3,not highly detailed,through meditations and patience. ,9/10/2023,Choice,6078,4387,7,2023-09-17T00:00:00.000Z,4,2,3,4,4,3,5,5,5,5,5,5,5,5,4,4,3,3
993,456,3,I find that the chatbot always gives me breathing exercises regardless of the prompt I give it.,"The exercise was very relaxing today, so I can implement it in high-stress situations.",9/11/2023,Value,2346,4687,6,2023-09-17T00:00:00.000Z,3,2,2,3,2,2,2,2,3,4,3,4,4,6,6,3,2,2
994,1008,5,I like how when following the exercise i felt a wave of calm afterwards as if my stress melted away,I can apply it to my daily life by taking a deep breath whenever i felt like i might over react and remind myself that not reacting would be the best course of action,9/12/2023,Choice,3776,3520,5,2023-09-17T00:00:00.000Z,3,1,5,1,1,4,4,4,4,4,3,4,3,5,4,2,1,4.5
995,534,4,Making a schedule/balancing work and school helped keep me organized.,Follow the schedule on a daily basis.,9/11/2023,Value,6501,3367,6,2023-09-17T00:00:00.000Z,4,2,3,3,2,3,3,3,3,4,5,4,4,3,3,3.5,2,3
996,522,3,"This exercise in particular really help cope with overwhelming emotions without being impulsive, especially when you have an eating disorder like me. ",I can try this practice next time I have the overwhelming urge to self sabotage because I'm feeling very negatively. ,9/11/2023,Choice,3743,3379,6,2023-09-17T00:00:00.000Z,1,5,4,2,4,4,2,5,2,2,1,1,5,6,3,1.5,4.5,4
997,566,4,"Despite taking a moment to breath and relax from my academic studies, the questions asked led my thoughts back to the stress involved with the studies. I felt that I need to stop the study and continue my work instead.","I would add the breathing exercises without asking myself questions; instead, I would take this moment to clear my mind of any thoughts.",9/12/2023,Value,8725,4429,5,2023-09-17T00:00:00.000Z,5,1,3,4,1,3,4,6,6,5,5,7,5,5,4,4.5,1,3
998,519,5,I liked the visualization aspect. helped make my thoughts seem less big and impacting and more as things I can manage. i feel better about navigating my mind. ,I i can follow out the instructions everytime i’m having negative thoughts. take a few minutes to myself and control the negative. I can do so anytime i’m free,9/16/2023,Value,4876,4795,1,2023-09-17T00:00:00.000Z,3,4,3,4,3,3,4,4,5,4,3,4,5,4,4,3.5,3.5,3
999,430,3,I don't think this exercise is useful in high intensity situations because initial reactions are only feeling based and it is hard to practice this exercise before responding.,It can be practiced in daily life when you are stressed about something that isn't very time sensitive.,9/11/2023,Choice,7957,4627,0,2023-09-17T00:00:00.000Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000,347,NA,NA,NA,9/13/2023,Control,2465,3541,4,2023-09-17T00:00:00.000Z,3,1,2,3,1,1,5,4,4,4,4,5,5,4,4,3,1,1.5
