,age,gender,gender_other,sexual_orien,sexual_other,Marital_status,Ethnic_identity,Ethnic_identity_other,Born_country,Eng_primary,ReligiousAffliation,ReligiousAffliation_other,Highest_education,Highest_education_other,Household_income,WBDefinition,Group_top3,Happiness_Rank,LifeSatisfaction_Rank,PhysicalHealth_Rank,MentalHealth_Rank,MeaningPurpose_Rank,CharacterVirtue_Rank,SocialRelationships_Rank,Financial_Rank,Spirituality_Rank,Education_Rank,Employment_Rank,Recreation_Rank,SelfEsteem_Rank,Family_Rank,Safety_Rank,Other_YesNo,Other_top3,PracticedMindfulness,MindfulnessOpen,StressOpen,StudyExpectation,PSS,CatchQuestions,ERQ,MPoD,SRI,PositiveMood,NegativeMood,WellbeingRating,Reappraisal,DC_awareness,DC_nonreactivity,DC_disidentification,Mindful_skill,SWLS,Extraversion,Agreeableness,Conscientiousness,Neuroticism,OpennesstoExperience,FFMQ15,FFMQ_Observing,FFMQ_Describe,FFMQ_ActingwAwareness,FFMQ_NonJudging,FFMQ_Nonreactivity,Autonomy,Competence,Relatedness,Meaning_Presence,Meaning_Search,Synchronicity,PWB,RandomID,id,BaselineDate,Condition,Time
108,18,Male,NA,Straight,NA,Single/never been married,Middle Eastern,NA,Canada,No,"Non-religious, atheist, or agnostic",NA,High school,NA,"$200,000 or more",Wellbeing means to me as being healthy and happy both physically and mentally. ,"Happiness,Self-esteem,Close Social Relationships",1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,No,NA,Yes,"mindfulness means to be relaxed and stress-free. Its when you take time out of your day to practice ways to relax, which allows you to become more conscious of everything around you","The term stress has two different meanings to me. Stress can be a negative thing which is produced when im panicking, and can cause me to feel terrible about myself and lower my self-esteem. Stress can also be positive and push me to focus more and exert more power to limit the stress.","I'm not sure whether ill experience any benefits from this training, however, I hope ill become more mindful of my life and surroundings. There aren't any concerns that I have for this practice. ",32,3,36,75,38,35,15,6,74,25,28,22,4,16,5,5,6,5,8,53,11,13,9,11,9,11,8,12,30,25,20,53,6261,4255,9/9/2023,Domain,1
109,19,Female,NA,Straight,NA,Single/never been married,South Asian,NA,Pakistan,No,Islam,NA,High school,NA,"Less than $20,000","Being health, in good mental state, and well slept.","Spirituality,Family,Close Social Relationships",NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,2,NA,No,NA,No,"Being fulfiled in life, being kind to everyong around, and not letting things that you cannot control, control you. ","Worrying about situations I cannot control, such stressing about situations that have already passed or are to far into the future. ","I have no further comments, I am looking forward to completing this training. ",40,2,29,75,40,39,16,7,69,25,25,25,6,18,6,7,6,7,6,54,11,7,15,10,11,15,15,15,35,12,34,40,5434,3847,9/9/2023,Choice,1
111,22,Male,NA,Straight,NA,Single/never been married,South Asian,NA,Sri Lanka,No,Prefer not to answer,NA,High school,NA,"$20,000 to $34,999","To me, wellbeing means mind, body and soul are right place which results in transquility and happiness","Mental Health,Physical Health,Financial and Material Stability",NA,NA,2,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,No,NA,No,"Mindfulness means taking a moment to take care of your body and feelings through various method. This may include meditation , journaling, yoga and  breathing methods to reduce any stress.","Stress is when you are constantly worried regarding a conflicting situations. During stress, your mental state is unstable.",I am hoping to gain better at mainting my mental health. I also want to approach my stress in a different way than I normally do. ,57,3,24,58,12,20,25,1,36,20,24,14,1,3,7,8,6,6,6,52,12,12,9,6,13,14,15,9,7,35,39,27,1784,4306,9/9/2023,Control,1
114,21,Female,NA,Gay/Lesbian,NA,Single/never been married,Middle Eastern,NA,Israel,Yes,Judaism,NA,High school,NA,"Less than $20,000",I would define wellbeing as being content with life. ,"Happiness,Mental Health,Safety",1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,No,NA,Yes,being present in the moment. without focusing on the past and future. ,unexpected challenge that may someone feel uneasy. ,"I don't think I'll get any benefit, a concern of mine is that mindfulness has in most cases made me feel worse. ",34,3,27,46,32,21,23,5,59,14,22,10,5,18,6,5,7,8,2,53,7,14,12,9,11,10,12,5,33,27,17,35,4817,4324,9/9/2023,Domain,1
116,19,Female,NA,Straight,NA,Single/never been married,Hispanic,NA,Venezuela ,Yes,Other religious affiliation,Catholic ,High school,NA,"$75,000 to $99,999",It just like being mentally stable and okay not feeling like depressive and being physically ok,"Mental Health,Happiness,Physical Health",2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,Like breathing and slowing things down mentally and you can hear and see your own thoughts ,Like overwhelming and too much you just want to die to escape the stress stress is when the body can’t handle a certain situation,No be if it’s because it won’t work on me the body keeps count and it’s not easy to get rid of ,63,3,21,33,29,9,33,1,50,20,5,8,1,4,7,2,6,8,7,37,3,15,7,9,3,12,9,10,8,20,9,11,4870,4333,9/9/2023,Control,1
117,20,Female,NA,Straight,NA,Single/never been married,Mixed,NA,Canada,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,"Less than $20,000","Well-being to my covers my over all feeling, emotional and physical. How is my life balance within those things and how are they currently making me feel.","Family,Mental Health,Character and Virtue",NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,No,NA,Yes,Mindfulness to means my awareness of everything around me and myself,"Stress to me is something unavoidable, and occurs due to outside stressors of something I care about , whose result have a heavy impact on my life. ","I hope to expect better ways of being aware of and controlling my thoughts , and perhaps being able to take a pause from my mind on overdrive ",49,3,24,45,27,31,24,5,51,15,16,14,4,13,4,7,7,9,10,44,12,10,8,7,7,14,8,11,21,30,17,37,3838,3481,9/9/2023,Domain,1
118,18,Female,NA,Gay/Lesbian,NA,Single/never been married,Caucasian/White,NA,Canada,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,"$50,000 to $74,999",Wellbeing to me means being in a state where you are mentally healthy and are capable to care for yourself and others.,"Close Social Relationships,Happiness,Mental Health",2,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,Mindfulness to me means being able to connect yourself with all aspects of your brain.,Stress to me means having so many things weighing on you that impairs you ability to think.,I want to be able to expand my knowledge of mindfulness and hopefully make myself less of a nervous/anxious person.,33,3,36,68,37,39,14,6,73,23,17,28,5,21,8,10,8,7,6,49,10,12,9,9,9,15,13,15,33,30,12,52,4322,3502,9/10/2023,Control,1
119,18,Female,NA,Straight,NA,Single/never been married,South Asian,NA,India,Yes,Hinduism,NA,High school,NA,Prefer not to answer,"wellbeing means doing good, thus it would mean doing well emotionally, physically and mentally in life.","Family,Mental Health,Education",NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,No,NA,No,mindfulness is hard to define. to mean it may mean reflecting upon onself and our actions through the use of meditation and other self-reflecting methods such as journaling etc.,stress is a state of mind wherein one has physical as well as mental repercussions to high levels of pressure. their body and mind are both under pressure to deliver which causes negative consequences . ,i am looking forward to this training. i dont expect much however hope for some stress relief. i have no concerns. ,46,3,30,46,26,45,41,3,56,16,16,14,3,20,8,8,5,8,6,45,13,9,9,8,6,7,11,12,15,25,12,40,6078,4387,9/10/2023,Choice,1
122,19,Female,NA,Straight,NA,Single/never been married,Middle Eastern,NA,Malaysia,No,Islam,NA,High school,NA,"$150,000 to $199,999","I would define wellbeing as an individual having peace of mind, calmness, being healthy mentally, physically and emotionally","Happiness,Education,Family",1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,No,NA,No,Being calm and understanding and learning how to find peace and calmness. it also means to me having good relationships and a personality,the word stress means to me to panic or worry about something even if it not in your control ,I would like to learn how to be more mindful of the things and individuals around me ,32,3,36,60,36,33,15,5,72,5,28,27,1,15,5,6,9,8,6,54,11,14,9,11,9,11,11,13,31,22,8,45,5869,4399,9/10/2023,Control,1
124,18,Female,NA,Straight,NA,Single/never been married,South Asian,NA,Canada,Yes,Sikhism,NA,High school,NA,"$100,000 to $149,999",Taking care of myself. Recognizing my needs. Doing things that bring me happiness. ,"Spirituality,Physical Health,Mental Health",NA,NA,2,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,NA,No,Being cautious of one's needs that contribute to their wellbeing. ,"overwhelmed, unknowing, feeling incapable, not knowing where to start",learn how to be mindful physically and practising mindfulness more regularly after having practice.,53,3,30,41,36,29,23,5,66,15,12,14,2,16,5,9,9,10,6,53,12,12,13,10,6,13,10,15,30,14,13,44,4708,3730,9/10/2023,Choice,1
126,17,Female,NA,Straight,NA,Single/never been married,East Asian,NA,Canada,Yes,Buddhism,NA,High school,NA,"$75,000 to $99,999","Wellbeing means being happy, being in a good/healthy metal state and feeling content with life. ","Life Satisfaction,Happiness,Education",2,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,No,NA,No,"To me, ""mindfulness"" usually consists of deep breathing and partaking in activities to decrease stress levels. ","""Stress"" is an emotion I feel often when I begin to worry about things in the near future, that I do not always have control over. ",I do not have any specific expectations for this training but hope to be able to be more mindful after this training. ,37,3,27,61,25,36,36,5,52,13,23,25,1,15,6,10,7,8,5,43,12,6,11,5,9,9,11,13,20,20,11,43,8908,4456,9/10/2023,Control,1
127,17,Male,NA,Straight,NA,Single/never been married,East Asian,NA,Canada,Yes,Christianity,NA,High school,NA,Prefer not to answer,"Someone's state of being in every aspect of their life (e.g. physical, emotional, financial, spiritual, etc.).","Spirituality,Mental Health,Physical Health",NA,NA,3,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,No,NA,Yes,"Being aware of many things such as things that may be affecting your life in any way, your own wellbeing, and others around you.","Factors in a person's life that can lead that person to react in a, typically but not only, negative way.","Some benefits I expect to get out of this training are a greater sense of self and mindfulness in my life. For example, learning techniques that can help me be more aware of myself and my surroundings in the future.",28,3,34,65,32,38,10,6,66,26,21,18,5,20,6,5,3,6,7,39,12,6,8,3,10,10,11,8,35,7,20,45,4724,4345,9/9/2023,Choice,1
128,18,Male,NA,Straight,NA,Single/never been married,South Asian,NA,Bahrain,Yes,Hinduism,NA,High school,NA,Prefer not to answer,"To me, wellbeing is a physical and mental state determined by self-reflection, which determines if one is satisfied or happy with themselves.","Family,Financial and Material Stability,Employment",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,1,NA,No,NA,No,"To me, mindfulness is a scale of how conscious one is with themself and their present situation.","To me, stress is primarily a state of mind on how emotionally well one is, and what pressures one feels.","I expect lots of self-reflecting or engaging in conversations on what I feel, why I feel said emotions or thoughts, or how I could change it using these techniques. Personally, this wouldn’t be beneficial to me, but nonetheless I will give a genuine effort and put my best foot forward.",51,3,6,83,13,8,29,1,19,25,30,28,1,3,2,4,4,4,6,47,3,12,10,12,10,15,5,12,11,5,0,14,6535,4465,9/10/2023,Domain,1
129,18,Male,NA,Straight,NA,Single/never been married,South Asian,NA,Canada,Yes,Islam,NA,High school,NA,"$100,000 to $149,999",Wellbeing is the awareness of the body and mind for oneself or others,"Safety,Happiness,Family",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,No,NA,Yes,Mindfulness means the awareness of self and others both physically and mentally. It also means being able to regulate your feelings with ease. ,Stress is the feeling of overburden when in a situation or the state of being really uncomfortable.,I expect to learn multiple methods of developing mindfulness in order to help cope with stress.,34,3,31,85,37,36,11,6,68,26,26,33,7,18,6,7,6,7,6,49,12,9,12,4,12,13,13,11,17,34,9,50,4026,4417,9/10/2023,Choice,1
130,17,Female,NA,Straight,NA,Single/never been married,Caucasian/White,NA,Canada,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,Prefer not to answer,Being in a state where you feel comfortable about yourself,"Happiness,Employment,Mental Health",1,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,No,NA,Yes,Being aware of your thoughts and emotions and how they affect your reactions to situations in life. As well as seeing the positive in negative things.,Stress means feeling of anxiety or worry which usually is a cause of a big event happening in life such as a due date or an activity which is something a person is not eager to participate in.,I hope to be able to have more peace in life and be able to bounce back from negative situations easier.,59,3,22,39,14,33,28,3,36,5,13,21,1,9,6,7,7,7,3,32,6,4,9,6,7,11,5,10,9,21,7,34,2349,4441,9/10/2023,Choice,1
131,17,Female,NA,Straight,NA,Single/never been married,African,NA,Canada ,Yes,Christianity,NA,High school,NA,"$20,000 to $34,999",complete and total constant peace mentally and physically ,"Mental Health,Financial and Material Stability,Family",NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,Yes,"intimacy, romantic relationships, family well-being",Yes,being mentally aware of my problems and being able to deal with them in a respectable way.,the state of being overwhelmed by constant woes that’s can feel insufferable ,more awareness of mine and others mindfulness and how it’s displayed in day to day life and how it can affect me as a post secondary student.,47,3,37,91,34,31,37,4,71,31,26,34,1,8,6,6,4,8,7,44,13,8,5,4,14,11,12,9,16,31,10,40,1885,4501,9/10/2023,Control,1
133,18,Female,NA,Straight,NA,Single/never been married,East Asian,NA,Canada,Yes,Christianity,NA,High school,NA,"$100,000 to $149,999","I think the term wellbeing means the general conditions of someone or something. The term wellbeing, for me, usually ties into mental health, or how someone is doing mentally, physically, emotionally or spiritually, and being generally aware of someone's condition.","Mental Health,Spirituality,Happiness",3,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,No,NA,No,Ther term mindfulness means to be aware of your surroundings and others. I believe it means to be courteous and aware of others around you.,The term stress means to have high amounts of anxiety and fear during any period of time. I think it means to experience a period of worry and distraught over certain tasks or events.,I believe that this training will allow me to adopt healthy habits in managing my emotions and remaining mindful of those around me. I am concerned that perhaps the techniques taught may not stick with me and that I may resort back to my old habits.,56,3,13,43,14,22,35,3,27,20,11,12,2,8,4,4,6,10,7,37,7,6,9,9,6,11,12,13,12,24,7,21,2175,4273,9/10/2023,Control,1
138,18,Female,NA,Straight,NA,Single/never been married,Caucasian/White,NA,Canada,Yes,Christianity,NA,High school,NA,"$20,000 to $34,999",Wellbeing to me means being able or feeling like you are able to manage any stressful situation. It entails a sense of calm acceptance about current personal events and brings self satisfaction.  ,"Mental Health,Family,Close Social Relationships",NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,No,NA,No,Mindfulness means to look outside of yourself and current emotions. To think of others and see your situation in a new light. ,Stress is when everything all at once becomes overwhelming and you feel your sense of control over the situation slipping from your gasp with you struggling to hold on.,I believe I may be able to develop a useful habit of implementing mindfulness techniques into my daily life to better manage stress.,38,3,35,78,34,40,18,7,69,23,28,27,4,19,5,7,9,4,4,45,12,6,8,10,9,14,15,15,25,32,18,52,7040,4540,9/10/2023,Domain,1
139,17,Male,NA,Prefer not to answer,NA,Single/never been married,Caribbean,NA,Canada,Yes,Christianity,NA,High school,NA,Prefer not to answer,"To me, the term ""wellbeing"" means how you are feeling majority of the time. I think you can have a positive wellbeing where you feel happy and secure as well as a negative wellbeing where you feel dissatisfied and unhappy. I would define Wellbeing as constantly changing and dependent on how conformable you are with yourself, your family, your friends, your environment, and your life. I think that many different factors affect your wellbeing and that having a good wellbeing either mentally, physically, or spiritually is crucial in someone's life in order for them to be happy. Just like this study, I believe that people should do regular check-ins with their wellbeing so they can evaluate it and reflect to potentially find something to make their wellbeing better.","Happiness,Life Satisfaction,Character and Virtue",1,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,It means being aware and thinking in a way that is clear and rational.,"Worrying about something that is really important to you. An example is worrying about good grades, your future, and your family.   ","Some benefits I expect are managing/coping with stress, learning how to be happy and confident even though the people are around me might not accept me, and new ways to feel better about myself so that I am more mindful.",41,3,23,75,34,30,20,3,57,20,21,34,6,16,8,8,7,10,7,42,11,8,11,3,9,10,8,15,31,33,22,48,6404,4012,9/10/2023,Control,1
141,18,Female,NA,Straight,NA,Single/never been married,East Asian,NA,Taiwan,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,"$200,000 or more","To me, wellbeing describes the quality of a persons life (emotionally, mentally and physically). Every aspect in ones life can impact their wellbeing (Emotionally - supportive family leads to positive wellbeing) / Mentally - burnout from school work leads to negative wellbeing)","Happiness,Self-esteem,Close Social Relationships",1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,No,NA,No,"To me, the term mindfulness is the act of deeply remembering and feeling. Whether it be something day to day like safety or something so niche and deep like ones emotions, mindfulness is important because I believe it helps a person stay in touch with themselves.","To me, the term stress describes the intense feeling of mental discomfort and strain when one's mind is overwhelmed. People of stress when a situation is too much for their brain to process and handle. ",I hope I will be able to process my thoughts and emotions more quickly without being too effected by them. This would help me be less stressed when something urgent or overwhelming comes up and it would most definitely help me live more in the moment.,36,3,36,68,39,40,18,6,75,22,19,27,5,17,5,7,7,7,9,54,12,12,10,12,8,14,12,15,26,35,26,48,1900,4576,9/10/2023,Control,1
143,18,Prefer not to answer,NA,Gay/Lesbian,NA,Single/never been married,Mixed,NA,Taiwan,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,Prefer not to answer,"Wellbeing, to me, means to be happy whilst being physically and mentally healthy. ","Life Satisfaction,Mental Health,Happiness",3,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,"Mindfulness means the awareness of your own mental state, or the consciousness of your emotions in the present. ",Stress means irritation/frustration about a situation that is difficult to take on.,My expectation for this training is to learn a few techniques that I could use whenever I am experiencing stress of frustration. I am looking forward to finding out what I'll learn in the following week.,55,3,27,60,24,23,26,2,51,26,14,20,2,11,6,9,6,9,3,45,14,6,9,6,10,12,10,9,16,18,4,35,9779,4249,9/10/2023,Choice,1
145,20,Female,NA,Straight,NA,Single/never been married,South Asian,NA,Jamaica,Yes,Hinduism,NA,High school,NA,"$50,000 to $74,999",wellbeing means my emotional and physical health in regards to everything in my environment,"Happiness,Self-esteem,Mental Health",1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,No,NA,Yes,The term mindfulness means having control over your mindset in regards to things that can be either in or out of your hands.,The term stress means an uncontrollable feeling that wont be resolved unless you do something about it,I expect to come more in terms with my emotions as well as improve my wellbeing through meditation,38,3,42,75,42,40,7,5,84,5,35,35,3,13,6,10,10,2,10,53,12,12,6,11,12,15,15,15,30,30,44,52,2135,3829,9/10/2023,Choice,1
146,18,Female,NA,Straight,NA,Single/never been married,Middle Eastern,NA,Lebanon,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,"$50,000 to $74,999","How ""well"" a person is doing mentally...how content they are with themselves and their current doings. It also defines how a person feels when they're alone as well as with other people around them.","Self-esteem,Meaning  and Purpose of Life,Mental Health",NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,No,NA,No,"It is a therapeutic/meditative term I'm not familiar with because I'm not one to sit down alone, take a deep breath, and take my surroundings in that often. Although, I do catch myself doing that when I'm in nature and I have a beautiful scenery around me.",It is something I face too often that I almost find comfort in that word. Stress is the extreme anxiety I face when something/some things trouble me so much that I lose my mind trying to control the irritating feeling.,"Hopefully, it will teach me to relax and calm down. I've had a few hospital incidents due to the stress I face so if this training helps, I welcome it with open arms.",60,3,9,47,17,25,33,2,26,24,11,12,3,7,6,6,6,9,8,39,7,8,9,9,6,13,8,15,12,28,14,34,6901,4594,9/10/2023,Control,1
147,18,Female,NA,Straight,NA,Single/never been married,South Asian,NA,Bangladesh,No,Islam,NA,High school,NA,Prefer not to answer,It basically means how good I feel both mentally and physically.,"Happiness,Financial and Material Stability,Close Social Relationships",1,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,Yes,Love,No,To pay attention to people around me and my surroundings. Not forgetting stuff or spacing out,I means when my brain is overheating and i can not think straight anymore,To be less forgetful i guess cuz i am quite forgetful and lazy. Learn to listen better and pay attention to people and not make everything about me proly,57,3,12,60,8,18,25,3,20,14,26,20,1,12,6,8,3,8,6,35,6,3,7,8,11,15,11,9,5,32,14,23,6882,4597,9/11/2023,Domain,1
148,17,Female,NA,Bisexual,NA,Single/never been married,Southeast Asian,NA,Canada,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,Prefer not to answer,"to be in good shape in all aspects like physical, mental, possibly even spiritual; to be in a state of contentment and satisfaction","Mental Health,Family,Self-esteem",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,No,NA,Yes,To be in a state of calmness; to be able to take a step back and compose yourself.,Stress feels like something pushing down on my chest. It makes me irritable and sometimes I can't think straight because of it.,"I don't have any concerns, but I don't think I'll continue using much of the techniques too often after this.",53,3,20,49,21,36,38,3,41,13,17,19,2,14,6,7,6,8,5,43,12,9,9,4,9,12,12,13,15,21,7,31,7086,3838,9/11/2023,Choice,1
149,20,Female,NA,Straight,NA,Single/never been married,Middle Eastern,NA,Pakistan,Yes,Islam,NA,High school,NA,"$35,000 to $49,999","To define wellbeing, one must consider its multidimensional nature. It encompasses the overall quality of life, including physical health, emotional and mental well-being, social connections, and a sense of purpose. It goes beyond the absence of illness and encompasses a state of optimal functioning and fulfillment","Happiness,Mental Health,Physical Health",1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,being positive,Yes,"Mindfulness is a mental practice and state of awareness characterized by paying deliberate and non-judgmental attention to the present moment. It involves being fully present and engaged in whatever you are doing, whether it's a simple daily task or a specific meditation practice. Mindfulness emphasizes acceptance of one's thoughts, feelings, and bodily sensations without trying to change or judge them. The goal is to cultivate a greater sense of clarity, self-awareness, and emotional balance, which can lead to reduced stress, improved well-being, and better decision-making."," stress is a complex and multifaceted response to challenging or demanding situations, encompassing physiological, psychological, and behavioral aspects. It is an inherent part of human experience and can have both adaptive and maladaptive effects depending on its intensity and duration, as well as an individual's ability to cope with it.","see how mentally well i am. to see the state of being comfortable, healthy, and happy in various aspects of life. It encompasses physical, mental, emotional, and social dimensions. Here's what one might expect from a state of wellbeing",47,3,40,60,41,28,28,4,81,16,24,20,5,15,6,6,6,5,5,50,14,8,11,7,10,13,13,13,27,33,28,47,3546,4606,9/11/2023,Control,1
150,18,Female,NA,Straight,NA,Single/never been married,Other,North African,Saudi Arabia,No,Islam,NA,High school,NA,Prefer not to answer,"Wellbeing is defined to me as the state of being healthy, happy, comfortable, satisfied, and well both mentally and physically. To me, it applies more to mental health as it is more overlooked, and since there are other ways to describe being in good/healthy physical condition.","Family,Life Satisfaction,Mental Health",NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Yes,accomplishment/success (a sense of value),No,"Being present and aware of your surroundings. Giving time for your body, mind and soul to connect and giving all your attention and energy towards your mental health and wellbeing.",An overload of negative emotions that may be caused by internal feelings or external factors. Feeling as though you cannot control the circumstances around you or your emotions and being negatively (emotionally) impacted by that.,"I expect practicing proper forms of mindfulness to have a positive impact on my wellbeing, being a first-year university student with very high stress levels at the moment. Taking some time to be present and mindful and direct some attention towards my wellbeing could give my body and mind a chance to recover from the stress and therefore, help reduce stress in the future. This could also be a good way for me to learn how to practice mindfulness on my own after the training. 
My only concern would be the methods of mindfulness that will be used during the training, and how this could affect my performance with my studies.",51,3,22,65,25,35,36,5,47,18,20,27,3,16,4,8,8,9,7,45,10,6,13,7,9,13,11,13,21,24,13,33,3414,4624,9/11/2023,Control,1
151,19,Female,NA,Straight,NA,Single/never been married,Caribbean,NA,Canada,Yes,Islam,NA,High school,NA,"$150,000 to $199,999",The term wellbeing means how good you are in a general sense ,"Happiness,Life Satisfaction,Mental Health",1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,Mindfulness means how at peace you can be at a given time,Stress means now feared or worried you are at a given time,A benefit is the new mindfulness methods that I will learn,33,3,36,73,37,32,14,5,73,19,30,24,4,13,5,10,8,5,6,53,7,9,12,13,12,11,7,13,20,23,5,45,7957,4627,9/11/2023,Choice,1
154,18,Female,NA,Straight,NA,Single/never been married,Middle Eastern,NA,Canada,Yes,"Non-religious, atheist, or agnostic",NA,High school,NA,"$50,000 to $74,999","Wellbeing means the ability to feel good about your self, your life, to being energetic and open to new things and being motivated enough to push yourself through hard times.","Mental Health,Self-esteem,Life Satisfaction",NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,No,NA,Yes,Mindfulness means the ability to feel control over your life and emotions. To keep your emotions and self in check in order to lessen the weight on you and others. It means being able to cope in all situations with a positive mindset.,"Stress means feeling as though you lack control in your life because you feel as though everything you do is wrong yet you can't find it in yourself to change it. This means feeling very anxious before something like a test because you feel as though it will go all wrong, you'll blank out and ultimately that one failure will lead to the demise of your life when really a failure is supposed to make you better. Stress perhaps stems from that lack of confidence in your self and your skills/capabilities which causes you to react to situations by panicking.","I hope to learn techniques and skills that will allow me to help control my emotions better, be able to approach situations with a positive mindset instead of immediately becoming panicked and stressed. To see more good than bad. To learn how to destress myself to avoid further issues.",59,3,18,57,15,32,32,3,33,28,11,18,1,10,5,6,8,10,7,28,8,8,3,5,4,5,6,6,14,27,15,32,8527,3901,9/11/2023,Control,1
156,18,Female,NA,Straight,NA,Single/never been married,South Asian,NA,Canada,Yes,Sikhism,NA,High school,NA,Prefer not to answer,Wellbeing means to have a healthy life with purpose and meaning.,"Life Satisfaction,Physical Health,Spirituality",NA,1,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,No,NA,No,Mindfulness means I am fully aware of what I am feeling and sensing at any given moment.,Stress means to be overcome by a feeling of nervousness and anger about an situation that I think is uncontrollable.,I hope to learn more about myself as a person and unpack my mental health. ,45,3,18,46,24,30,28,3,42,13,11,22,4,14,7,8,4,9,6,43,12,8,6,7,10,12,10,10,14,29,15,42,3688,3304,9/11/2023,Choice,1
157,17,Female,NA,Straight,NA,Single/never been married,Caucasian/White,NA,Canada,Yes,Christianity,NA,High school,NA,"$150,000 to $199,999","Your overall health, including physical, mental, emotional, spiritual, and their interconnectedness.","Happiness,Family,Financial and Material Stability",1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,No,NA,Yes,"Your physical, mental, emotional, and spiritual health and the interactions between them. ","A challenge or an obstacle, that can be avoidable or self inflicted, that causes feelings of discomfort. ","The ability to step-back and think about what I am doing and what I am feeling. The ability to be more in-tune with my mental wellbeing. At this time, I have no concerns about this training. ",41,3,23,53,34,40,24,5,57,12,13,28,3,14,6,7,6,8,6,44,9,8,9,11,7,12,13,13,17,30,30,42,9746,4738,9/11/2023,Control,1
158,17,Female,NA,Straight,NA,Single/never been married,Caucasian/White,NA,Canada,Yes,Christianity,NA,High school,NA,"$100,000 to $149,999",Wellbeing means comfort and happiness. It means a sense of fulfillment and meaning to life that comes from engaging and understanding your emotions and life experiences.,"Close Social Relationships,Meaning  and Purpose of Life,Life Satisfaction",NA,3,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,Mindfulness means grounding your emotions by listening to them and not letting them define your moment. Engage with your feelings and centre yourself to calm yourself for both long and short term effects.,"Stress is the feeling of overwhelmingness we get when put in an uncomfortable or pressured situation. It is hard to recognize stress as a feeling, as it often takes over your reality and pulls you away from the present. It is a state of worry and threat one may feel if not managed correctly. ", I hope to gain some knowledge on the topic mindfulness that will hopefully help me to some degree when entering my first year of university. Hopefully these techniques with help me manage my emotions and cope with my stress in the healthiest and most beneficial manner possible.,50,2,31,80,37,45,28,6,68,30,25,25,6,13,5,8,6,7,7,41,15,9,4,3,10,12,12,11,24,31,16,42,6501,3367,9/11/2023,Domain,1
